context	payload_bytes	wire	trial	goodput_mbps	pump_mbps	bytes_received	duration_s
loopback	64	udp	1	111.1	112.27279941933446	140341060	10.102214
loopback	64	tcp	1	203.3	205.3534557360063	256691844	10.102431
loopback	64	tls	1	159.4	160.9969637113507	201246212	10.102470
loopback	64	ws	1	338.6	342.02934182316613	427536708	10.101065
loopback	64	h2	1	713.7	907.084071861449	902894148	10.120941
loopback	64	h2s	1	695.3	899.6215296	878668164	10.109778
loopback	64	webtransport	1	95.9	193.167393681682	121063556	10.100596
loopback	64	udp	2	110.3	111.43850133962668	139298180	10.100710
loopback	64	tcp	2	200.2	202.22194473893398	252777476	10.101251
loopback	64	tls	2	158.3	159.92584773479976	199907332	10.101602
loopback	64	ws	2	322.2	325.45578418622426	406819780	10.101337
loopback	64	h2	2	722.7	900.1701987722048	913996804	10.117170
loopback	64	h2s	2	723.4	913.0937987239885	915186820	10.120982
loopback	64	webtransport	2	95.3	193.46230551834864	120810116	10.146772
loopback	64	udp	3	109.5	110.6297021293159	138287172	10.100409
loopback	64	tcp	3	200.6	202.66446880032967	253330628	10.101267
loopback	64	tls	3	159.3	160.92376740369943	201154756	10.101221
loopback	64	ws	3	321.5	324.76567433812954	405957124	10.101208
loopback	64	h2	3	732.6	915.9221531019462	926574660	10.118439
loopback	64	h2s	3	720.0	906.0801347535333	910870724	10.121310
loopback	64	webtransport	3	96.8	195.95066731198028	122796164	10.145361
