wire	pump_mbps	goodput_mbps	bytes_received	duration_s
udp	735.1184480200526	728.4	918898692	10.092484
tcp	721.3709436825063	714.0	901713924	10.103572
tls	731.7227284834026	723.8	914617348	10.109571
ws	775.4321042755846	766.6	969888772	10.120840
h2	7626.137974596156	632.5	797985796	10.093814
h2s	7672.293869794248	630.1	795284484	10.096964
webtransport	539.591737641069	504.3	636507140	10.098250
