context	payload_bytes	wire	trial	goodput_mbps	pump_mbps	bytes_received	duration_s
lxc_lan	1300	udp	1	1310.8	1323.9730221455552	1654967604	10.100602
lxc_lan	1300	tcp	1	949.9	959.3374514945625	1199172004	10.099779
lxc_lan	1300	tls	1	934.9	944.3092532496422	1180387004	10.100790
lxc_lan	1300	ws	1	1112.8	1124.0284352708397	1405037404	10.100847
lxc_lan	1300	h2	1	951.1	9427.739516620808	1202130804	10.111380
lxc_lan	1300	h2s	1	1032.2	9179.742207397381	1304079404	10.107123
lxc_lan	1300	webtransport	1	1411.3	4069.6975327154273	1782375404	10.103742
lxc_lan	1300	udp	2	1327.0	1340.3543309334054	1675443904	10.100442
lxc_lan	1300	tcp	2	939.2	948.6658820408965	1185832704	10.100425
lxc_lan	1300	tls	2	967.6	977.2901833650882	1221613904	10.100634
lxc_lan	1300	ws	2	1088.9	1099.967522918258	1374960604	10.101287
lxc_lan	1300	h2	2	974.2	9231.143320587851	1230346004	10.103406
lxc_lan	1300	h2s	2	1028.6	9147.39549373137	1299222604	10.105164
lxc_lan	1300	webtransport	2	1417.7	3955.713691265166	1789872504	10.100284
lxc_lan	1300	udp	3	1260.8	1273.3454310014477	1591682304	10.099784
lxc_lan	1300	tcp	3	1851.7	1871.9291308072482	2339911604	10.109164
lxc_lan	1300	tls	3	903.5	912.5749608797508	1140718804	10.100441
lxc_lan	1300	ws	3	1103.1	1114.170088711228	1392713404	10.100437
lxc_lan	1300	h2	3	956.8	9324.631562509641	1208987004	10.108862
lxc_lan	1300	h2s	3	1035.4	9104.158726933538	1308235504	10.108519
lxc_lan	1300	webtransport	3	1412.7	4106.217359928762	1783996504	10.102501
