wire	pump_mbps	goodput_mbps	bytes_received	duration_s
udp	1048.9368241290856	1038.5	1311171588	10.100381
tcp	793.0961304667471	785.1	991371268	10.101217
tls	740.1014331883072	732.8	925128708	10.100250
ws	898.6433695884366	889.6	1123306500	10.101135
h2	8033.713014563827	774.8	979169284	10.110167
h2s	7978.571422050716	847.3	1070381060	10.106425
webtransport	3056.5350107119584	1214.8	1534692356	10.106787
