context	payload_bytes	wire	trial	goodput_mbps	pump_mbps	bytes_received	duration_s
cross_arch	256	udp	1	58.3		2738180	0.375938
cross_arch	256	tcp	1				
cross_arch	256	tls	1	75.1	78.53523930789875	98169092	10.454694
cross_arch	256	ws	1	91.2	95.51454320500117	119307524	10.469006
cross_arch	256	h2	1	76.3	3813.4724589097923	97063172	10.179850
cross_arch	256	h2s	1	75.9	3751.223328618849	96748292	10.192069
cross_arch	256	webtransport	1	70.1	1604.0574775492814	90176516	10.291644
cross_arch	256	udp	2	42.0		1984004	0.378101
cross_arch	256	tcp	2	76.4	79.56542735466452	98779140	10.348666
cross_arch	256	tls	2	72.8	76.40797746131042	95510020	10.501586
cross_arch	256	ws	2	83.6	87.34714128195199	109268484	10.456431
cross_arch	256	h2	2	89.7	3795.114992060517	114723332	10.235397
cross_arch	256	h2s	2	64.9	3801.5012388812347	83000836	10.227378
cross_arch	256	webtransport	2	77.5	1510.0079049839305	98642692	10.177618
cross_arch	256	udp	3				
cross_arch	256	tcp	3	81.1	84.08565883036708	103537668	10.216677
cross_arch	256	tls	3	84.7	86.76820485030521	108523012	10.253616
cross_arch	256	ws	3	69.1	71.49385121752766	89448964	10.357787
cross_arch	256	h2	3	86.8	3769.660652949542	110289156	10.164479
cross_arch	256	h2s	3	80.3	3735.0479248246997	102617348	10.226384
cross_arch	256	webtransport	3	88.2	1501.0563533103868	112610820	10.212694
