context	payload_bytes	wire	trial	goodput_mbps	pump_mbps	bytes_received	duration_s
lxc_lan	256	udp	1	275.0	277.7199684365589	347150084	10.100325
lxc_lan	256	tcp	1	266.8	269.4591500989269	336824068	10.100888
lxc_lan	256	tls	1	253.4	255.8996091800293	319874564	10.100207
lxc_lan	256	ws	1	596.8	602.8187113299803	753523460	10.100747
lxc_lan	256	h2	1	246.9	3082.80712737045	312003076	10.110202
lxc_lan	256	h2s	1	228.5	3006.6041030938477	289031172	10.120716
lxc_lan	256	webtransport	1	483.1	1109.6203606448591	610623492	10.111637
lxc_lan	256	udp	2	278.5	281.30335308481955	351629316	10.100299
lxc_lan	256	tcp	2	261.6	264.1790535613518	330223876	10.099819
lxc_lan	256	tls	2	246.7	249.20683414223873	311508740	10.100214
lxc_lan	256	ws	2	598.2	604.2361466267686	755295236	10.100530
lxc_lan	256	h2	2	244.6	3037.943028032105	308977668	10.104590
lxc_lan	256	h2s	2	221.7	2823.2064304082364	279883524	10.101583
lxc_lan	256	webtransport	2	571.3	1275.8039676558203	722026500	10.111476
lxc_lan	256	udp	3	278.8	281.62406771892665	352030212	10.099555
lxc_lan	256	tcp	3	264.5	267.15020255847384	333937924	10.100252
lxc_lan	256	tls	3	257.7	260.26466824557434	325330948	10.100198
lxc_lan	256	ws	3	595.6	601.5704041521841	751963396	10.100326
lxc_lan	256	h2	3	247.8	3054.271651993791	313007108	10.104371
lxc_lan	256	h2s	3	229.9	2972.3194423023865	290252292	10.101492
lxc_lan	256	webtransport	3	464.6	1119.4117368381824	587475460	10.115529
