context	payload_bytes	wire	trial	goodput_mbps	pump_mbps	bytes_received	duration_s
loopback	256	udp	1	431.1	435.4146537627138	544268548	10.100811
loopback	256	tcp	1	807.9	817.0025782496133	1021253380	10.112768
loopback	256	tls	1	607.2	613.3275241106887	766659588	10.101202
loopback	256	ws	1	1158.5	1170.2301257212343	1462787844	10.101239
loopback	256	h2	1	783.6	3233.9616983509577	989420292	10.100999
loopback	256	h2s	1	690.1	3198.7732345651525	871337220	10.101594
loopback	256	webtransport	1	364.3	561.7123024107535	460495108	10.113438
loopback	256	udp	2	429.0	433.3090671274772	541636356	10.101244
loopback	256	tcp	2	932.0	942.6168559901823	1178271236	10.113707
loopback	256	tls	2	586.1	591.9881389173564	739985412	10.101300
loopback	256	ws	2	1169.9	1181.7804592584762	1477225732	10.101239
loopback	256	h2	2	784.7	3218.6838769630554	990854916	10.101799
loopback	256	h2s	2	697.7	3178.117218968697	880892932	10.100463
loopback	256	webtransport	2	356.3	560.2982581759111	449913348	10.101554
loopback	256	udp	3	432.1	436.47908621498203	545598980	10.100445
loopback	256	tcp	3	791.9	800.6390373254844	1000798980	10.110755
loopback	256	tls	3	591.1	597.1432397294693	746996996	10.110240
loopback	256	ws	3	1177.5	1189.428519652748	1486785796	10.101408
loopback	256	h2	3	789.5	3233.675988776661	996880132	10.101570
loopback	256	h2s	3	698.7	3227.6211040654816	882206724	10.101318
loopback	256	webtransport	3	363.6	568.4116580331056	459041028	10.101135
